0,Radiohead
1,The Beatles
2,Nine Inch Nails
3,Muse
4,Coldplay
5,Depeche Mode
6,Pink Floyd
7,Death Cab For Cutie
8,Placebo
9,Elliott Smith
10,The Cure
11,Britney Spears
12,David Bowie
13,The Killers
14,Kanye West
15,Sigur Rós
16,Red Hot Chili Peppers
17,The Smiths
18,Metallica
19,Interpol
20,Björk
21,Bloc Party
22,Black Rebel Motorcycle Club
23,Arcade Fire
24,Modest Mouse
25,U2
26,The Knife
27,Oasis
28,Daft Punk
29,Air
30,Nirvana
31,The Smashing Pumpkins
32,Tool
33,Belle And Sebastian
34,The White Stripes
35,Arctic Monkeys
36,Pixies
37,Madonna
38,Sufjan Stevens
39,System Of A Down
40,Franz Ferdinand
41,Sonic Youth
42,Joy Division
43,The Shins
44,Tori Amos
45,The Doors
46,Beck
47,Bright Eyes
48,Snow Patrol
49,The Rolling Stones
50,Massive Attack
51,Johnny Cash
52,Pearl Jam
53,Boards Of Canada
54,Queen
55,Kings Of Leon
56,Queens Of The Stone Age
57,The Strokes
58,Yeah Yeah Yeahs
59,Mando Diao
60,Ac/Dc
61,Pj Harvey
62,Bob Dylan
63,The Clash
64,Metric
65,Broken Social Scene
66,Portishead
67,In Flames
68,Incubus
69,Moby
70,The Postal Service
71,R.E.M.
72,Chemistry
73,Foo Fighters
74,Blur
75,Guns N' Roses
76,Mogwai
77,Gorillaz
78,The 69 Eyes
79,Soilwork
80,Michael Jackson
81,Cat Power
82,Ladytron
83,Röyksopp
84,Regina Spektor
85,Iron & Wine
86,Feist
87,Wilco
88,Keane
89,Marilyn Manson
90,The Decemberists
91,Travis
92,Ramones
93,Patrick Wolf
94,The Prodigy
95,Morrissey
96,Weezer
97,Garbage
98,A Perfect Circle
99,Evanescence
100,Nightwish
101,Afi
102,Aphex Twin
103,Jack Johnson
104,Yann Tiersen
105,Linkin Park
106,Yo La Tengo
107,Tom Waits
108,Tegan And Sara
109,Jamiroquai
110,The Kooks
111,The Who
112,The Chemical Brothers
113,New Order
114,The Flaming Lips
115,Kaiser Chiefs
116,Children Of Bodom
117,Nelly Furtado
118,Porcupine Tree
119,Iron Maiden
120,Amy Winehouse
121,Damien Rice
122,Goldfrapp
123,The Velvet Underground
124,Animal Collective
125,Of Montreal
126,Rammstein
127,Black Sabbath
128,The Jesus And Mary Chain
129,Zero 7
130,Rancid
131,Rage Against The Machine
132,Fall Out Boy
133,My Chemical Romance
134,Him
135,The Libertines
136,Deftones
137,Nick Cave & The Bad Seeds
138,Rush
139,Pantera
140,Nick Drake
141,Misfits
142,Audioslave
143,Spoon
144,Korn
145,M83
146,Beirut
147,The Kinks
148,Dir En Grey
149,Jimi Hendrix
150,Jimmy Eat World
151,The National
152,Disturbed
153,Rilo Kiley
154,Jeff Buckley
155,Eminem
156,Hot Chip
157,The Verve
158,Architecture In Helsinki
159,Green Day
160,Katatonia
161,Thievery Corporation
162,Slayer
163,Fiona Apple
164,Devendra Banhart
165,Stars
166,Prince
167,Soda Stereo
168,Pulp
169,Tv On The Radio
170,Manic Street Preachers
171,Matchbox Twenty
172,Led Zeppelin
173,Eels
174,Pavement
175,Tenacious D
176,The Mountain Goats
177,Ratatat
178,Alanis Morissette
179,Imogen Heap
180,Bruce Springsteen
181,Mgmt
182,Kylie Minogue
183,The Offspring
184,Rufus Wainwright
185,Talking Heads
186,The Fray
187,Girl Talk
188,Lily Allen
189,Beastie Boys
190,Maroon 5
191,Shakira
192,The New Pornographers
193,Deep Purple
194,My Bloody Valentine
195,Apocalyptica
196,Neil Young
197,Judas Priest
198,Opeth
199,The Dresden Dolls
200,Bob Marley & The Wailers
201,M.I.A.
202,Kasabian
203,Maxïmo Park
204,Dream Theater
205,Frank Sinatra
206,Nouvelle Vague
207,Neutral Milk Hotel
208,Van Halen
209,The Cranberries
210,Razorlight
211,Explosions In The Sky
212,Skinny Puppy
213,Klaxons
214,Kate Bush
215,Motörhead
216,The Beach Boys
217,Cut Copy
